全国都道府県別の百貨店+スーパーの販売額の前年比(%),,
,,
,,
pref,year,yoy
北海道,2021年度,0.8
北海道,2022年度,3.9
北海道,2023年度,4.9
青森県,2021年度,0
青森県,2022年度,1.6
青森県,2023年度,4.3
岩手県,2021年度,0.5
岩手県,2022年度,3.2
岩手県,2023年度,3.4
宮城県,2021年度,-0.6
宮城県,2022年度,1.6
宮城県,2023年度,3.3
秋田県,2021年度,-1.9
秋田県,2022年度,1.7
秋田県,2023年度,3.7
山形県,2021年度,-0.9
山形県,2022年度,0.3
山形県,2023年度,4.6
福島県,2021年度,-0.1
福島県,2022年度,0.4
福島県,2023年度,2.7
茨城県,2021年度,0.6
茨城県,2022年度,0.6
茨城県,2023年度,3.1
栃木県,2021年度,0.2
栃木県,2022年度,1.1
栃木県,2023年度,4.4
群馬県,2021年度,-0.7
群馬県,2022年度,2
群馬県,2023年度,3.6
埼玉県,2021年度,1.6
埼玉県,2022年度,2
埼玉県,2023年度,4.9
千葉県,2021年度,1.8
千葉県,2022年度,3
千葉県,2023年度,5.1
東京都,2021年度,6
東京都,2022年度,9.7
東京都,2023年度,6.2
神奈川県,2021年度,2.4
神奈川県,2022年度,2.1
神奈川県,2023年度,3.6
新潟県,2021年度,1.6
新潟県,2022年度,2.7
新潟県,2023年度,5.4
富山県,2021年度,3.4
富山県,2022年度,2.3
富山県,2023年度,3.6
石川県,2021年度,0
石川県,2022年度,1.9
石川県,2023年度,1.7
福井県,2021年度,3
福井県,2022年度,-0.7
福井県,2023年度,1.4
山梨県,2021年度,-0.1
山梨県,2022年度,2.4
山梨県,2023年度,-0.1
長野県,2021年度,-0.7
長野県,2022年度,1.3
長野県,2023年度,1.9
岐阜県,2021年度,0.4
岐阜県,2022年度,-0.9
岐阜県,2023年度,0.6
静岡県,2021年度,0.4
静岡県,2022年度,1.4
静岡県,2023年度,2.9
愛知県,2021年度,2.1
愛知県,2022年度,3
愛知県,2023年度,3
三重県,2021年度,-1.2
三重県,2022年度,0.7
三重県,2023年度,1.5
滋賀県,2021年度,-1
滋賀県,2022年度,0.3
滋賀県,2023年度,2.7
京都府,2021年度,4.9
京都府,2022年度,9.4
京都府,2023年度,8
大阪府,2021年度,2.5
大阪府,2022年度,12
大阪府,2023年度,10.8
兵庫県,2021年度,0.8
兵庫県,2022年度,2.3
兵庫県,2023年度,3.8
奈良県,2021年度,-2
奈良県,2022年度,0
奈良県,2023年度,0.5
和歌山県,2021年度,-2.1
和歌山県,2022年度,0.8
和歌山県,2023年度,0.9
鳥取県,2021年度,-0.6
鳥取県,2022年度,3.9
鳥取県,2023年度,1.1
島根県,2021年度,0.2
島根県,2022年度,3.7
島根県,2023年度,-0.1
岡山県,2021年度,-0.6
岡山県,2022年度,3.3
岡山県,2023年度,2.6
広島県,2021年度,1.4
広島県,2022年度,3.3
広島県,2023年度,1.9
山口県,2021年度,-0.2
山口県,2022年度,1.9
山口県,2023年度,2.5
徳島県,2021年度,-4.1
徳島県,2022年度,4.4
徳島県,2023年度,3.5
香川県,2021年度,-0.2
香川県,2022年度,1.4
香川県,2023年度,2.2
愛媛県,2021年度,-0.4
愛媛県,2022年度,2.3
愛媛県,2023年度,0.7
高知県,2021年度,0
高知県,2022年度,1.2
高知県,2023年度,2.8
福岡県,2021年度,4.4
福岡県,2022年度,7.6
福岡県,2023年度,9.5
佐賀県,2021年度,-0.8
佐賀県,2022年度,4.1
佐賀県,2023年度,0.9
長崎県,2021年度,-2.3
長崎県,2022年度,2.6
長崎県,2023年度,1.9
熊本県,2021年度,-0.3
熊本県,2022年度,6.9
熊本県,2023年度,4.5
大分県,2021年度,0.8
大分県,2022年度,4.6
大分県,2023年度,2.6
宮崎県,2021年度,0
宮崎県,2022年度,5.7
宮崎県,2023年度,1.2
鹿児島県,2021年度,2.3
鹿児島県,2022年度,3.3
鹿児島県,2023年度,2.3
沖縄県,2021年度,2.9
沖縄県,2022年度,8.2
沖縄県,2023年度,8.7
